periodo,CuentaCorriente,Exportaciones,IngresosTurismo,Remesas,Importaciones,BalanzaBienes,BalanzaServicios,BalanzaIngresoPrimario,BalanzaIngresoSecundario
2002-01-01,-3627.093766,36677.187,2413.586,2174.435,38121.517,-1431.944326,-520.406919,-3983.80751,2309.064989
2002-04-01,-2032.123022,41480.504,2144.941,2578.08,42977.609,-1492.583948,-1439.292142,-1807.734396,2707.487464
2002-07-01,-2711.575496,41367.209,2017.51,2552.8111,42925.083,-1571.399636,-1182.674365,-2637.059303,2679.557808
2002-10-01,-4027.253254,41521.08,2281.948,2509.122,44654.68,-3139.032399,-1416.955874,-2112.152543,2640.887562
2003-01-01,-1700.305073,39051.494,2547.862,3170.126737,39189.409,-137.159866,-709.201785,-4158.363918,3304.420496
2003-04-01,-506.158152,40244.554,2270.156,3904.647328,41891.13,-1648.796158,-1255.705112,-1638.837297,4037.180415
2003-07-01,-83.157012,41543.041,2154.326,4128.11669,42972.115,-1438.576399,-1448.265473,-1447.554477,4251.239337
2003-10-01,-1742.999421,43927.347,2389.39,3935.795655,46493.19,-2567.283919,-1565.597309,-1668.391307,4058.273114
2004-01-01,-1168.96752,43193.014,2926.646742,3733.861218,43716.898,-516.6843,-964.138148,-3565.86754,3877.722468
2004-04-01,1084.074417,47387.843,2613.733873,4968.637676,48507.361,-1128.011544,-1560.447624,-1322.301614,5094.835199
2004-07-01,-317.844457,47874.258,2417.515145,5028.024585,49821.87,-1961.74234,-1759.623841,-1766.43555,5169.957274
2004-10-01,-3405.909468,49543.44,2837.660469,4601.224478,54763.523,-5236.881135,-1840.61288,-1019.873834,4691.458381
2005-01-01,-3427.469033,46894.759,3455.566738,4487.522921,48772.027,-1874.076208,-1025.869512,-5168.46474,4640.941427
2005-04-01,-171.917095,53977.035,3000.845031,5733.860582,54654.7,-683.873088,-2129.999057,-3250.909054,5892.864104
2005-07-01,69.895537,54183.346,2688.693138,5785.514002,55871.366,-1711.263856,-1693.404079,-2450.937678,5925.50115
2005-10-01,-2191.885575,59177.816,2658.304814,5681.373413,62521.433,-3393.296036,-2054.003577,-2560.652826,5816.066864
2006-01-01,-1422.713121,58852.393,3280.284713,5734.33167,58119.318,710.475364,-1432.094002,-6593.224826,5892.130343
2006-04-01,-90.500894,63779.715,3007.47796,6947.563053,63931.628,-195.232418,-2032.629308,-4960.583417,7097.944249
2006-07-01,-102.635592,63139.908,2655.525307,6666.888947,65762.721,-2683.833152,-2483.621314,-1720.52656,6785.345434
2006-10-01,-1613.855968,64153.128,3233.277613,6218.051384,68244.685,-4143.644168,-1730.427946,-2085.156711,6345.372857
2007-01-01,-4868.752608,60269.038,3716.737338,5916.231273,62722.748,-2487.372756,-1136.393448,-7271.86991,6026.883506
2007-04-01,-1773.58864,67655.771,3105.336461,6947.79583,69963.719,-2360.932702,-1869.324004,-4588.05688,7044.724946
2007-07-01,-720.52944,70269.404,2819.107287,7268.51605,72663.834,-2462.464332,-3457.209856,-2143.323901,7342.468649
2007-10-01,-1948.074259,73681.099,3277.86461,6563.392845,76598.748,-3000.60979,-1921.514627,-3666.121747,6640.171905
2008-01-01,-4110.863237,70084.127,3983.689525,5930.106979,71731.958,-1728.204997,-1235.767893,-7180.676375,6033.786028
2008-04-01,-2039.546244,79402.868,3342.547312,7122.057222,80267.894,-952.876451,-2538.674255,-5786.661501,7238.665963
2008-07-01,-3655.8763,78466.803,2935.577219,6685.543083,84894.177,-6542.003913,-2992.014202,-912.633459,6790.775274
2008-10-01,-6534.548296,63388.797,3107.848424,6447.508917,71709.222,-8391.902406,-2488.10265,-2113.115032,6458.571792
2009-01-01,-1486.740512,49664.85,3662.227077,5728.095496,51956.863,-2334.342282,-1386.193752,-3555.739113,5789.534635
2009-04-01,-258.530215,54012.201,2471.528572,5861.138924,53562.219,396.372848,-2203.144679,-4407.122553,5955.364169
2009-07-01,-4253.466181,58520.883,2464.841345,5591.704996,61307.074,-2868.488188,-3406.564003,-3664.896833,5686.482843
2009-10-01,-1085.804191,67505.616,2914.074989,4942.786364,67558.816,-119.092532,-2898.86513,-3121.545882,5053.699353
2010-01-01,473.391865,66596.616,3625.802766,5002.750774,66224.754,324.943923,-1225.596755,-3738.575622,5112.620319
2010-04-01,495.76546,74641.431,2839.774742,6023.045318,74724.851,-49.742704,-2725.170408,-2911.532901,6182.211473
2010-07-01,19.231129,75589.817,2581.098291,5734.785202,77840.959,-2222.12912,-3485.693317,-165.163883,5892.217449
2010-10-01,-4742.326247,81645.282,2945.042804,5230.758061,82691.255,-995.93164,-3244.271116,-5892.621971,5390.49848
2011-01-01,-2120.735518,81801.197,3365.186931,5263.521103,79892.683,1995.879161,-2581.179463,-6924.404764,5388.969548
2011-04-01,-1711.423145,89282.613,2880.941184,6266.325159,88043.509,1304.963074,-3632.750663,-5882.470534,6498.834978
2011-07-01,-4265.955677,88087.085,2571.68444,6347.021774,91968.118,-3852.474751,-4871.002756,-2098.727023,6556.248853
2011-10-01,-2445.503426,90262.491,3050.996506,5670.477834,90938.566,-653.454164,-3690.562352,-3992.455819,5890.968909
2012-01-01,-4680.648122,89608.968,3602.237609,5572.262989,87905.688,1813.22593,-2509.191231,-9554.6591,5569.976279
2012-04-01,-988.172931,94308.601,3037.099712,6701.02302,92941.222,1425.315313,-3112.841679,-6108.917221,6808.270656
2012-07-01,-3263.537275,91234.184,2753.54826,5628.44679,92415.596,-1129.949408,-4650.509543,-3210.896963,5727.818639
2012-10-01,-8762.799021,95618.137,3346.505539,5384.539317,97489.053,-1817.3497,-4599.802284,-7734.832247,5389.18521
2013-01-01,-8308.57554,88228.082,3884.279855,5246.557294,89346.81,-1017.820329,-2804.841568,-9668.151887,5182.238244
2013-04-01,-9253.084745,96662.687,3287.050364,6294.505772,97561.273,-821.051238,-4107.767897,-10563.519688,6239.254078
2013-07-01,-5596.019896,96307.241,3086.193504,5859.960804,97279.818,-914.556376,-4463.579025,-6027.356183,5809.471688
2013-10-01,-8620.741094,98817.041,3691.457778,5689.013402,97022.267,1844.187913,-3622.119408,-12467.275176,5624.465577
2014-01-01,-9029.204653,90759.104,4425.072462,5677.588469,92064.363,-1200.03393,-2756.266741,-10770.820582,5697.9166
2014-04-01,-7934.870219,101870.049,3994.781877,6386.825895,100863.55,1082.494513,-3542.963224,-11829.024271,6354.622763
2014-07-01,-2627.592833,101121.234,3576.934937,6123.847991,102841.862,-1660.160995,-4077.163108,-3007.319682,6117.050952
2014-10-01,-5260.374387,103163.245,4211.602345,6213.583983,104214.561,-1017.521837,-3391.849454,-7075.742967,6224.739871
2015-01-01,-9655.093455,90462.157,4862.79549,5870.010408,92609.631,-2116.62272,-2518.646652,-10832.649383,5812.8253
2015-04-01,-7598.92548,97978.026,4457.01272,6493.484698,99990.865,-1983.793772,-2458.538565,-9558.35829,6401.765147
2015-07-01,-7720.189579,95891.915,3884.953126,6695.660956,102567.993,-6663.02185,-4056.747824,-3613.778647,6613.358742
2015-10-01,-6561.453523,96223.991,4528.971776,6317.351928,100085.363,-3848.986289,-2161.406328,-6789.644052,6238.583146
2016-01-01,-10139.615985,85148.475,5276.036973,6335.405106,89138.68,-3976.055053,-2260.454504,-10277.496514,6374.390086
2016-04-01,-7486.754423,93748.002,4838.005851,7112.897009,96819.371,-3054.042669,-3382.87057,-8224.004516,7174.163332
2016-07-01,-4930.634544,94920.486,4437.57166,7066.432987,100160.949,-5232.904391,-2340.467583,-4488.376361,7131.113791
2016-10-01,-2725.307955,100136.651,5098.037517,7116.40869,100968.536,-818.500323,-2601.960375,-6466.813414,7161.966157
2017-01-01,-13314.290559,94710.574,5799.59036,7065.336904,97484.507,-2742.467932,-3900.277851,-13720.398365,7048.853589
2017-04-01,-2712.458904,102659.183,5307.29361,7813.077447,102965.548,-304.346799,-3894.766953,-6348.682855,7835.337703
2017-07-01,-5123.075992,101853.381,4830.807866,7892.509044,107907.114,-6081.864918,-3536.0536,-3412.857471,7907.699997
2017-10-01,-252.951409,110209.437,5398.506376,8171.990823,112036.418,-1854.105064,-354.908303,-6218.821744,8174.883702
2018-01-01,-12101.422097,105296.586,6227.596333,7332.137938,107024.953,-1765.727957,-3097.520506,-14517.786379,7279.612745
2018-04-01,-3886.04886,113879.114,5354.406856,9273.282253,116621.543,-2783.143131,-3433.737467,-6900.855687,9231.687425
2018-07-01,-5807.488048,113988.022,5090.489399,8687.421813,119743.297,-5803.433961,-3537.750481,-5127.13326,8660.829654
2018-10-01,-4136.844944,117549.006,5853.879927,9142.274479,120912.574,-3415.325441,-3774.175551,-6042.222358,9094.878406
2019-01-01,-11515.761947,108093.855,7044.711488,8072.097195,109867.571,-1815.665659,-1456.471269,-16286.474221,8042.849202
2019-04-01,5057.729923,119261.452,6012.826995,9695.375737,114252.005,4963.800065,-1435.098674,-8143.323461,9672.351993
2019-07-01,-253.982185,116347.517,5514.770525,10040.728616,117386.952,-1098.731139,-4251.193499,-4928.6641,10024.606553
2019-10-01,2840.847946,116901.055,6000.867549,9442.284343,113735.061,3118.104897,-2290.395737,-7390.773017,9403.911803
2020-01-01,-7033.887294,108324.829,5992.221916,9627.239636,104773.311,3518.513542,-1069.625168,-19200.898402,9718.122734
2020-04-01,-354.945018,74386.425,522.019874,10155.101842,75547.557,-1164.876184,-3998.051281,-5494.746991,10302.729438
2020-07-01,16928.976432,111040.351,1601.10323,10957.1663,94832.773,16208.584131,-4349.938887,-5993.159039,11063.490227
2020-10-01,17330.743363,123419.13,2880.269881,10964.425236,107832.283,15588.375002,-3021.307679,-6269.708828,11033.384868
2021-01-01,-9317.716,111959.278,2960.196382,10932.003707,113371.355,-1423.984077,-4014.562963,-14790.77572,10911.60676
2021-04-01,6113.467547,124409.504,4845.930481,13450.411431,121627.763,2810.488636,-3172.046252,-6956.724653,13431.749816
2021-07-01,-3540.737783,123178.7,5482.774043,13828.990683,133244.724,-10040.924924,-2497.697485,-4839.84821,13837.732836
2021-10-01,2182.430363,135401.532,6476.528773,14311.192368,137459.254,-2075.964658,-2713.508131,-7356.667627,14328.570779
2022-01-01,-11580.647705,132160.364,6766.282449,12575.665618,136940.125,-4828.369364,-3596.752974,-15680.938541,12525.413174
2022-04-01,-1839.412539,148765.379,7039.401886,15073.047505,156775.286,-8078.861683,-3536.295621,-5245.315357,15021.060122
2022-07-01,-6360.969131,149004.193,6677.564606,15581.567383,162152.26,-13185.804958,-3849.632344,-4875.466883,15549.935054
2022-10-01,860.784878,147767.544,7533.564689,15637.547801,149937.695,-2214.028875,-4497.672562,-8017.843495,15590.32981
2023-01-01,-20786.861376,141065.103,8902.95478,13970.315642,146019.817,-5019.558084,-4431.911284,-25240.790002,13905.397994
2023-04-01,1740.074432,150742.108,7418.276527,16267.154163,152769.117,-2003.893297,-5529.096562,-6942.874109,16215.9384
2023-07-01,-1055.063,149887.698,6473.161735,16853.284515,155506.669,-5616.641284,-5940.132922,-6284.033904,16785.74511
2023-10-01,7506.597953,151306.554,7899.749448,16227.917881,150984.363,282.888359,-3692.405296,-5226.013122,16142.128012
2024-01-01,-24580.075234,143576.285,9806.841657,14082.642619,148555.901,-5018.678831,-984.0261,-32533.604739,13956.234436
2024-04-01,-911.249792,156100.958,7771.225054,17243.847473,162037.017,-5933.592618,-2075.110138,-10000.696274,17098.149238
2024-07-01,-2071.036363,156082.982,6688.725935,17033.294016,164639.207,-8549.149882,-4116.878118,-6338.305501,16933.297138
2024-10-01,10822.161976,161916.863,8689.483094,16386.597507,160985.903,926.828638,-1876.214913,-4528.829909,16300.37816
2025-01-01,-11171.127455,148901.774,10268.50181,14253.730404,149170.984,-337.103873,1246.571495,-26248.686596,14168.091519
2025-04-01,205.881625,163826.326,8412.307677,15305.005605,162124.535,1719.762613,-833.226565,-15898.123607,15217.469184
