periodo,inflacion_yoy_avg,PIB_USD_2018,ingresos_mmxn_USD_2018,gasto_mmxn_USD_2018,balance_mmxn_USD_2018,rfsp_sin_ingresos_rec_miles_USD_2018,balance_tradicional_miles_USD_2018,ingresos_totales_miles_USD_2018,gasto_totales_miles_USD_2018,deuda_total_economia_musd_2018,deuda_bruta_publica_musd_2018,activos_fx_publico_musd_2018,posicion_neta_publico_musd_2018,deuda_publica_lp_musd_2018,deuda_publica_cp_musd_2018,deuda_gob_federal_musd_2018,deuda_organismos_empresas_musd_2018,deuda_banca_desarrollo_musd_2018,endeudamiento_neto_total_musd_2018,endeudamiento_neto_lp_musd_2018,endeudamiento_neto_cp_musd_2018,endeudamiento_neto_gf_musd_2018,endeudamiento_neto_oye_musd_2018,endeudamiento_neto_bd_musd_2018,fuente_bancario_musd_2018,fuente_comercio_ext_musd_2018,fuente_capitales_musd_2018,fuente_ofis_musd_2018,fuente_pidiregas_musd_2018,acreedor_eeuu_musd_2018,acreedor_ofis_musd_2018,acreedor_japon_musd_2018,acreedor_otros_musd_2018,moneda_usd_musd_2018,moneda_canasta_musd_2018,CuentaCorriente_2018,Exportaciones_2018,IngresosTurismo_2018,Remesas_2018,Importaciones_2018,BalanzaBienes_2018,BalanzaServicios_2018,BalanzaIngresoPrimario_2018,BalanzaIngresoSecundario_2018,TasaMXN,TasaUSD,tcn_mean
2009-04-01,5.96,978399.5773577451,60.82094688395684,65.82050843328419,-4.965717504984895,-14022.953799079813,-4965.717495279806,80210.05685671265,85586.10754510306,182105.8528701635,101239.05819856022,1971.9191017156345,99267.1390968446,99844.4726013667,1394.5855971935346,47256.55261490255,47770.02543640255,6212.480147255124,-189.46512034734224,372.3442402356832,-561.8093605830253,200.75540684848735,-81.03132707592725,-309.18920011990235,36287.333636133706,39581.39232999386,181638.2468375744,41713.609978595545,3215.967545560567,41892.96088395228,14017.596334078038,2822.689232437344,6482.976594678394,82818.60295048874,1635.5626497023516,-304.050020474235,63522.21081744158,2906.69434100481,6893.118507809758,62992.99980698759,466.16281408279815,-2591.05569056078,-5183.091278023781,7003.934134027529,5.6786,0.18,13.3299
2009-07-01,5.14,1002545.5513823696,59.125912012829644,61.61620624504781,-2.415646481466,-8475.981272872572,-2415.6464207888475,79585.6273204943,88578.91763391483,182557.5127653893,106220.78809857716,4713.362800449514,101507.42529812764,104840.0813319619,1380.706766615276,49864.84112791628,50038.46433334572,6317.48263731518,5181.993870040495,5188.640292276545,-6.646422236050228,2798.959988669292,2275.8748983022515,107.15898306895016,36162.13395125938,39244.79122589903,187496.97052576343,42701.39720424066,2727.481798657033,43675.38957156921,14664.572738502118,2905.1861405472177,6307.8045137083,88247.81293720745,399.1351458596479,-4959.707404506323,68237.63123587609,2874.101109428763,6520.146039096061,71486.4385720661,-3344.769066065022,-3972.186445274995,-4273.412597137062,6630.660703970757,4.5435,0.1567,13.2598
2009-10-01,3.98,1037440.3844469936,71.31593453709273,83.65750511513689,-13.398700519165931,-25916.297864769247,-13398.7004642954,84082.96648034417,106266.52380731236,189514.34815278996,111479.3618078146,5358.902751232549,106120.45905658204,109449.90213426716,2029.459673547436,56353.97975441184,47553.29110906326,7572.090944339492,6428.762713680137,5768.242488135282,660.5202255448555,6966.874391558772,-1856.1439794037688,1318.032301525135,30766.08106782473,40946.23768465189,201303.2862963646,49728.298942312125,1571.1796571902505,41723.15015873381,19835.04404045524,4555.264025249966,6031.339876975534,90151.23430078792,424.033390545086,-1256.2543862968462,78102.68822186794,3371.528234347351,5718.7079417924615,78164.23958988159,-137.787749338497,-3353.9307225288444,-3611.568032978201,5847.032118548696,4.5,0.12,13.0731
2010-01-01,4.75,1006685.2552002068,66.48868967216288,66.25831970377763,1.0229009006993184,-2832.597371426362,1022.9008996150446,93225.083353142,96487.09850805505,195908.64451153303,111787.29707094682,2232.67324335017,109554.62382759665,109622.54662701148,2164.750443935337,55673.59252716515,48791.441942918646,7322.262600863028,1370.3540296907631,1228.0395928215885,142.31443686917476,-231.02992998242652,1849.8566493692892,-248.47268969609976,27080.866332680074,42517.131104455904,204732.1395974219,59902.59539549347,1917.5484188541404,43979.550561244665,19908.773186305625,5197.018274954686,4356.415874713626,92500.91851601386,436.1845078068213,546.8384471260016,76929.05765773273,4188.344795795342,5778.925805183751,76499.50139861711,375.358858894525,-1415.747662471696,-4318.614320923334,5905.841571626506,4.5,0.1333,12.7844
2010-04-01,3.96,1048709.9371856847,61.98295595019618,72.33331812149245,-10.402568578091808,-11350.862681019693,-10402.56859125242,89205.1564146196,99917.04050275784,199179.9294200573,111183.32351938666,1329.468568796672,109853.85495059,109011.91596821256,2171.407551174121,57367.63763399459,46393.77304430796,7421.912841084107,7.164454694949471,1.8488915341805088,5.315563160768962,1935.55832484522,-1997.958414123812,69.56454397354165,28391.92506603855,43483.155546624286,200251.01539695228,60347.24189704737,1870.847121148902,37194.72877171372,20408.989200051543,6185.81329476355,6131.270994505225,93592.50724030974,431.831728952035,572.885351208191,86252.4436718866,3281.522174664649,6959.973436522344,86348.84025424994,-57.48054019552933,-3149.0903103440264,-3364.442832591823,7143.89903433957,4.5,0.1933,12.556
2010-07-01,3.67,1049761.565070304,61.95203121473922,68.4568168556676,-6.758383028740635,-9774.234709182474,-6758.382964833667,88421.67840886133,95693.32253899035,212196.9228422017,116090.96971633656,1037.9986305507928,115052.97108578576,114117.8620963807,1973.107619955858,59011.6450886582,49685.55749262392,7393.767135054442,3638.813714069834,3831.8038024450784,-192.9900883752445,1149.87527282683,2548.3909102589005,-59.45246901589622,27747.82686168464,41885.30138336777,212727.61678074283,60728.2775225106,1517.8814473166997,36464.987522158815,20244.94831547117,6186.167662659853,5607.08217957091,95690.01627868028,9.332655019937198,22.157715135914792,87093.04754088692,2973.8888793151195,6607.50270416134,89686.76750223155,-2560.291911940325,-4016.14484356316,-190.29846194966296,6788.892932589061,4.5,0.1867,12.8006
2010-10-01,4.25,1074485.874898828,79.57861976445784,97.22450104838892,-17.867380790429085,-25866.34055656041,-17867.380812564494,102317.62378799016,128755.65848277997,217319.54882976256,126210.93216628207,6570.562066964347,119640.37009931772,123537.51608132035,2673.416084961698,65360.45729156711,52091.439839735285,8759.035034979677,11034.82748009777,10319.356371899736,715.4711081980347,6848.978619611378,2788.394349314289,1397.4545111721038,29859.03234630108,46155.54407689612,217872.26740472196,64360.6264202386,1275.8472812802972,39234.78976144635,24154.133174001705,9001.335154688917,6409.066751327954,103870.74683658098,10.7434958739002,-5420.123666737567,93314.44152025729,3365.9633205567534,5978.364643162098,94509.9103085244,-1138.275262236879,-3707.9588668680426,-6734.825514031081,6160.935976398437,4.5,0.1867,12.392
2011-01-01,3.46,1044074.0641966196,72.48184469194348,73.03790329818479,0.1182275254778958,-2760.250987780066,118.22756476527518,103384.77180059494,104956.21179665436,217298.46627637805,124603.18550375226,1759.3863764034402,122843.79912734884,121772.31269487532,2830.8728088769326,64460.96303452324,51597.24539159714,8544.977077631876,-815.1212881550325,-1000.0163084288224,184.89502027379,-434.36194059426754,-267.1082800530226,-113.65106750774248,34302.49314354084,50661.46172629708,213797.90031150027,72066.99004895434,1799.5317783589112,38322.34836413559,24115.173326192595,8712.796166369679,6073.2642592072725,102011.61499599928,9.72536498076204,-2398.2473186297034,92505.40659165314,3805.543154937848,5952.286489606768,90347.15133340964,2257.052709095596,-2918.9432975026016,-7830.507395863658,6094.150665640959,4.5,0.1567,12.0721
2011-04-01,3.3,1074816.4171026424,71.46897567997333,83.45094093345801,-12.077246831125237,-12035.920283972417,-12077.246846091515,109806.01365001296,120971.8190814381,220467.26557016792,124258.6676004334,4472.907265865623,119785.76033456778,121655.74261375528,2602.924986678145,65567.67929627952,50913.96860406261,7777.019700091285,475.5461990782315,672.339359289303,-196.7931602110716,1546.5035220905288,-371.6707184895465,-699.286604522751,30196.56866284204,48215.66602325943,220666.9659020639,71804.12163194573,1633.7186726386174,36840.23866299047,24191.134661832697,8567.994026985103,4938.278364046578,101851.86546737814,12.523201104340918,-1913.615733880233,99830.7247964324,3221.3040908044677,7006.647334941793,98445.2293873973,1459.1352687000822,-4061.9345638104287,-6577.44298996801,7266.626551198124,4.5,0.0933,11.7296
2011-07-01,3.37,1088704.2922379174,70.84444318833586,76.07530085304442,-4.843251301873125,-6886.634571140407,-4843.251307932148,106687.78434317176,114090.02680526164,221912.88334495903,126052.83920052856,2329.1111831918106,123723.72801733676,122375.2075245024,3677.63167602618,66328.67844942768,50981.7176153742,8742.443135726697,3222.718469159326,2131.8154920085303,1090.9029771507956,1408.175777837422,773.2969067155487,1041.245784606355,30453.52308943546,46134.42021160659,228124.03164999757,71861.51172610745,1322.9698121068052,37914.98840138152,23913.659722341028,8964.067518559266,4983.715820869551,104268.99535170436,10.997901704473398,-4739.046586998613,97855.86891551444,2856.882089499365,7050.901170364077,102167.3052231728,-4279.710972774104,-5411.192880071416,-2331.47409126021,7283.331357107117,4.5,0.0833,12.2842
2011-10-01,3.5,1115996.634711697,78.22563064360364,92.079626257362,-14.154740555911587,-21224.75242807983,-14154.74056248309,105416.83500895336,127602.50040598736,222672.7415645343,128753.12641079248,3084.009203807723,125669.11720698477,125690.4617446142,3062.664666178272,67850.74613333198,52464.98408665154,8437.396190808966,3718.705066271057,4318.121615243224,-599.4165489721674,2032.4865935443715,1929.9664568474711,-243.74798412078545,32236.00268035153,45257.829536205376,230058.9469254576,73803.21788892773,1081.3828442527404,38375.709162406674,25909.614439133107,8726.266306291494,5034.546044070107,107328.9614907024,15.040710453914164,-2704.566834155964,99824.41117500245,3374.2025766654256,6271.177590921497,100572.10590442378,-722.6775643844516,-4081.520569746209,-4415.3949980605685,6515.026298035266,4.5,0.0733,13.6317
2012-01-01,3.88,1095646.9232158328,72.87734699464036,77.8091882542602,-4.190406935042807,-6400.251922623742,-4190.406914914348,108438.55054063605,113514.52200721973,226025.73148414984,133158.19923836968,5434.590888247505,127723.6083501222,130148.6475810902,3009.551657279504,70756.026517348,54355.14670821545,8047.02601280625,5139.640309250808,5176.371663980449,-36.73135472964095,3372.57621405359,2102.375174750138,-335.3110795529199,30357.364942888675,44997.11925908569,242703.1961949143,76939.6511093787,1813.8030944789464,42518.192711298754,25568.212141192853,8079.468377013568,4685.007313884534,111953.650044235,14.076686842497132,-5147.501393227836,98546.67037619892,3961.528965168642,6128.046960952346,96673.5032539264,1994.079186820752,-2759.460873963037,-10507.651877930895,6125.532171845346,4.5,0.1033,13.0034
2012-04-01,3.87,1118425.4682881895,69.93171936217246,76.97328500387462,-7.542603845443887,-11329.619335643762,-7542.6038923655715,103023.5690242868,113455.10268024824,229240.99924390757,134030.8658521555,3269.666490245096,130761.19936191042,131141.45694359462,2889.4089085608894,71726.78595328833,54299.57549757875,8004.504401288415,1588.741417039614,1703.4222750078668,-114.68085796825284,1281.5723056012023,328.8981161060802,-21.72900466766896,26800.751893508965,42751.487456295225,250378.82134518892,77236.51528836404,1600.1546316125307,41583.93755397538,25957.16169714345,9256.885215770428,4193.03944617321,112025.09073109333,13.608063529247229,-1084.4451631395514,103496.56723890553,3332.9875665769728,7353.866690895816,101995.9720533766,1564.1759135897498,-3416.108655187146,-6704.075293409712,7471.562871867556,4.5,0.1533,13.5419
2012-07-01,4.59,1116185.480708145,72.33776086182895,74.86625113392071,-2.7612913323971062,-7285.516653181567,-2761.291393523788,100867.45939097118,108704.53394545808,229193.8296259153,135106.9810247084,2582.7608126922523,132524.22021201614,132431.5768733603,2675.404151348106,72088.09789158592,55188.66377996093,7830.219353161534,484.7387896415348,686.4128499701967,-201.674060328662,-288.0901934380724,952.5439501655492,-179.71496708594202,25230.233391344453,43803.9118012017,256656.6800794897,77926.26696520638,1352.1775973390302,43071.50502956392,25949.09325968822,9251.660956052228,3994.1514873325473,112784.19712823212,13.983900174468438,-3565.3890210356835,99672.63449649104,3008.229999486036,6149.0342225521335,100963.31789281286,-1234.460915911852,-5080.6454070097525,-3507.879890710615,6257.597192596536,4.5,0.1433,13.1721
2012-10-01,4.11,1146959.8508046337,76.94366578792533,96.23454075752883,-19.057057477929792,-24553.867142370964,-19057.05739744088,108562.90838010445,134234.6733139209,231608.8901794822,136447.36440294597,4413.816004858034,132033.5483980879,133056.3121558893,3391.0522470566543,73213.23693034802,54333.23935756396,8900.888115033973,2740.8636145239648,2008.1940337814867,732.6695807424783,2001.3567972851488,-456.24987667625214,1195.756693915068,26314.352723135307,40458.9671206066,260407.98146743735,79241.4004412858,1088.8570439326445,43550.4832925856,27467.67513974771,8569.227881179875,3838.8369737850594,114861.66614619052,19.10085116437212,-9510.05226610379,103772.03428701949,3631.8809216582895,5843.70932288221,105802.49383571504,-1972.3253484838815,-4992.053341603576,-8394.424973371191,5848.7513973548575,4.5,0.16,12.9442
2013-01-01,3.69,1092633.9566782592,76.046254873813,74.1364973073368,3.4301676445326765,-1238.0046007320568,3430.1677128417164,107000.26837439276,107541.6361277244,229620.50458926556,136632.67743026954,2579.5332177736195,134053.1442124959,133582.93932239723,3049.738107872314,72642.33179712095,55612.26732929352,8378.078303855082,1675.7669910804734,2004.3699487586416,-328.6029576781681,357.46380955319137,2008.909858042353,-690.606676515071,25988.17022921575,38737.7488009723,263765.5946843727,81937.1474970512,1806.8838949171895,44256.76518687095,27465.47832875112,7837.82909909341,3634.5216608456326,116326.41985577514,17.078706353010052,-8980.995054396324,95368.4496561577,4198.6376605352825,5671.165277751204,96577.7171878596,-1100.1933239946254,-3031.839589024574,-10450.602978124874,5601.64083674775,4.3667,0.1433,12.6593
2013-04-01,4.46,1137725.5302060854,79.72958446193559,90.0079237299303,-10.038868077407736,-13715.002787308244,-10038.868103399456,112554.03205327711,124756.76684563947,233524.645125299,135404.2515693077,2643.1754129586934,132761.076156349,132385.69027623953,3018.561293068155,73367.00062574071,53633.54167596803,8403.709267598959,-1191.842053481006,-1156.3486638367558,-35.49338964425004,701.2108685815252,-2040.32884677541,147.27592471287898,23025.687262384454,36870.598089379215,265461.87847723503,83129.08952810877,1479.36015191019,42955.44197073845,27745.225969531773,7390.308066323343,3164.7551022431,111734.70556185224,18.93702191385292,-10012.90677638875,104600.1955411946,3556.968272857498,6811.3824994992965,105572.56941396496,-888.4723020801182,-4445.079467572029,-11430.9487896613,6751.593782924696,4.0,0.1167,12.4816
2013-07-01,3.44,1127815.9636963138,73.47986038637079,83.42189859363684,-9.398756262120145,-11414.878606005535,-9398.756274868005,107092.18293042223,117682.69689234984,243108.76696163745,139398.969100943,2056.475845049293,137342.49325589373,136000.13879211317,3398.830308829833,74078.11953064725,56489.74580925847,8831.103761037293,4008.874014787827,3613.228167381055,395.6458474067725,782.25082126018,2811.711675096443,414.9115184312045,21934.1279054865,34856.9803555508,274377.1662931848,82662.75185790828,1192.4266440205747,43057.37555679383,27505.566232747537,8448.911594513504,2785.988237248179,115007.12277175311,17.866488212601805,-6022.965271648744,103654.95097076512,3321.65300367616,6307.043411504493,104701.73021813546,-984.3319705761338,-4804.125423866213,-6487.210132332656,6252.702255126258,3.9321,0.0833,12.9177
2013-10-01,3.65,1157192.714370902,91.20702659453283,104.57157843543474,-15.291453759607368,-27188.77539790299,-15291.453803225088,107112.62244912155,134205.33104890285,258113.21308698505,144159.56118275327,3738.354577871792,140421.20660488147,140377.24110155614,3782.320081197116,77401.16137129742,57217.45665812084,9540.943153335002,5118.335217612257,4723.074619424103,395.26059818815406,3438.5312917800725,897.754131316122,782.0497945160627,22111.431184589623,33824.270202195614,289913.4616421917,84551.1317742794,1001.8773111426812,46518.50504037079,29328.31493897404,7588.01694221111,2573.0542738808344,119722.46210518896,17.90790013494892,-9244.27368865882,105964.41328497922,3958.45851741344,6100.496040083953,104039.82444924251,1977.5768249152015,-3884.104948223012,-13369.025078247649,6031.279512896638,3.5652,0.0867,13.0299
2014-01-01,4.16,1119759.4158983226,77.62956240260606,82.39740405403514,-3.9824234235313214,-8021.575763383075,-3982.423505910292,110089.76395146624,116244.36466866308,260518.6219405316,152181.18898506495,3912.689506665365,148268.4994783996,147743.53942093448,4437.649564130532,78769.69180569644,63496.93485979603,9914.562319572531,8602.69502209056,7924.808110694717,677.8869113958433,1509.1269536671175,6682.104247499162,411.463820924281,24798.76783032921,32697.253339685343,305402.9199922757,86942.48652900208,1413.2146410973553,44383.102933949005,28986.299397125043,8018.37590006833,3061.414447990629,126011.08822346057,17.47735473493449,-9622.354432609884,96721.28390443976,4715.765923546581,6050.562665346745,98112.28845102304,-1278.8669932053383,-2937.3324132048056,-11478.381225484609,6072.226199284868,3.5,0.0733,13.234
2014-04-01,3.59,1159896.8445777667,77.30756179292206,93.3409074015454,-14.980573278701192,-17016.605197626763,-14980.57322079834,108934.78893552769,126164.10238317262,273161.38135409093,156463.8607181506,2852.9464578668963,153610.91426028367,152425.34025572144,4038.5204624291287,81534.50236597212,65359.1132581264,9570.24509405207,5031.799112531786,5408.863377037138,-377.0642645053524,3124.9585193571224,2220.195095811105,-313.35450263644134,28098.125109376782,32286.11439748838,319181.454700352,86719.4805232636,1237.517071643375,44627.78713596776,29014.86724022927,8204.036423558682,4028.9798990876943,126239.3560524868,24.593452169030577,-8411.459103381107,107988.62834216814,4234.718836970245,6770.435222440017,106921.67640188037,1147.5119408923945,-3755.762783882688,-12539.506147204323,6736.29788681351,3.3626,0.0933,12.9984
2014-07-01,4.15,1156676.6153282518,75.99259842176242,89.10885982168135,-13.922871953577388,-16765.56839295062,-13922.871937453116,106268.74615415146,123022.45215852426,270215.3255022564,154845.8841309734,2563.457555285746,152282.42657568766,150601.43960101626,4244.44452995712,81274.63114712221,63920.962431309534,9650.290552541635,890.0835547102544,675.2285080042392,214.8550467060153,1100.3919641090067,-457.2013887582728,246.89297935952052,30910.68380855798,30904.656870732077,316736.624165924,87478.99356376374,1062.3270936295946,40462.95731961513,29070.141585127072,8475.143412241117,3997.974493602926,125918.06286713878,23.0503937903107,-2778.305023910463,106921.29652578694,3782.099030283037,6475.096683695094,108740.61546921052,-1755.383701379084,-4311.01904526271,-3179.812060708805,6467.909783440135,3.0,0.09,13.1151
2014-10-01,4.18,1192089.429344613,86.3764847317037,96.05820736532966,-10.504138531754226,-22710.88493305126,-10504.138615183128,101039.96959317788,123799.16981096672,274043.1817378794,156524.41817354172,2171.285552827282,154353.13262071443,151440.0653700408,5084.352803500948,83287.09639548874,63136.34959559006,10100.972182462909,2877.7695505617985,2047.6906028860296,830.0789476757687,2619.873741636355,-489.0798447932571,746.9756537187003,32028.899883489416,29973.04734994689,322295.0317917022,88403.99092251626,755.8795780712434,43007.014613777246,29876.906166759312,7707.406518120354,3464.050569536984,129241.41596905718,22.57780817966272,-5575.949477131308,109352.11064796004,4464.260557484868,6586.343064619655,110466.49614017647,-1078.5639837748372,-3595.3298754321936,-7500.223823357913,6598.168205433635,3.0,0.1,13.8488
2015-01-01,3.07,1152070.6467860765,77.6064511390493,84.48269589069473,-6.888724436347348,-9022.645864657496,-6888.724392069476,103229.0770460662,110404.10538960206,280928.76137345715,169586.1294370207,3904.8423445433496,165681.28709247737,164681.92484544625,4904.20459157443,87255.5159134074,71851.87307131781,10478.74045229547,13411.853177327866,12822.392686792293,589.460490535574,4003.210230927748,8991.059532833378,417.5834135667396,38048.42106031314,28379.775359988103,347039.1292324361,91156.73080877824,1530.1434127169596,45006.61540098999,30255.273271865903,9209.2399315927,3530.3615623207497,141226.94518557074,21.33793630898005,-10300.988460002009,96513.7872219477,5188.101022460773,6262.695410947701,98804.92039380725,-2258.2180394750058,-2687.136092260092,-11557.319129598303,6201.684801331394,3.0,0.11,14.9392
2015-04-01,2.94,1187068.072581389,66.3824237250972,84.75664393228674,-17.633893320271152,-9022.645864657496,-17633.89329190812,93120.92676734312,109338.849138561,286049.01957819884,172044.80254705437,4001.845297729575,168042.95724932477,166373.87038888418,5670.932158170156,87708.2839099426,73187.51433511986,11149.0043019919,3132.2797605081028,2334.98374514686,797.2960153612424,715.9133279878461,1580.1805131667793,836.1859193534774,37428.406564821074,27206.825804355165,360609.65482866304,89900.10618290007,1325.7536480840647,46614.47740209318,29972.671537601287,8527.061810221134,3375.897987424038,139573.11028506924,22.041144496961515,-8052.356467611665,103824.41483620442,4722.964489726704,6880.953582568582,105957.3607615948,-2102.1675567704,-2605.240565505645,-10128.709433827882,6783.761088492262,3.0,0.1233,15.318
2015-07-01,2.61,1195836.2373250844,63.44914014227293,70.3764693513084,-5.623003929775327,-9022.645864657496,-5623.003956125789,86438.32505620555,96569.4171291075,285651.90177860466,172462.8283069517,4422.256439847807,168040.57186710392,167768.8390412226,4693.989265729121,87373.50489815224,75022.22394925481,10067.099459544685,1237.049438103046,2194.237290576192,-957.1878524731457,-108.9464942927414,2121.9229993063004,-775.9270669105128,37943.25584515777,26741.613774988964,359914.45618044614,89352.06613461985,1180.675961405058,47029.62571945093,29720.32916545795,8597.060764751635,3521.0197908389573,140440.79331294278,20.69138845094701,-8150.07354561439,101231.47258011183,4101.279298152392,7068.496009001796,108279.29519372518,-7034.039456913141,-4282.640054791735,-3815.004987796669,6981.610953887155,3.0,0.1367,16.4259
2015-10-01,2.27,1218522.2891173386,77.7467405825576,87.59261482905323,-12.532374408295595,-9022.645864657496,-12532.37438938652,90595.908131745,106318.92353981898,286877.5126130501,171254.78519006717,633.4577883172088,170621.32740174994,167926.7035465466,3328.081643520563,87193.66976479691,73503.59119628149,10557.52422898876,-551.636157326236,784.3263182347574,-1335.9624755609937,188.981573514634,-1266.0709662499949,525.4532354091248,32972.85037378541,27452.47690119704,362944.0740208631,90296.3460119746,1022.400870343975,47921.39841509101,30243.914221714876,7870.079562053002,2815.086411281676,139045.6737563962,20.48180182225642,-6927.339728042897,101589.727536525,4781.520740960036,6669.626300553892,105666.421148175,-4063.617236488669,-2281.932786982833,-7168.254841068353,6586.465136496959,3.0408,0.16,16.7501
2016-01-01,2.69,1171167.0068816426,61.91736303330213,64.9273070806878,-3.6000705191518407,-9022.645864657496,-3600.0705520750207,82698.54864203885,86396.03443935492,305922.74528228724,185999.86960626475,2263.060530973203,183736.8090752916,182012.0996070501,3987.769999214661,93323.09333941503,81783.30167193031,10893.47459491942,13383.031334388868,12727.629059430516,655.402274958349,5191.770600068998,7851.727705352084,339.5330289677843,32812.264861345626,26330.81808901816,392392.00419314846,90056.54051156412,1409.896641133805,54610.30644945504,30059.765461919484,8420.397990023392,3437.5870449943063,146715.2431749847,19.543749333864373,-10711.681792026178,89952.45684112525,5573.705085216895,6692.841584872889,94167.78474981348,-4200.379637485234,-2387.986821988147,-10857.341386447615,6734.02605389482,3.4918,0.36,18.0652
2016-04-01,2.56,1213931.3812523626,74.20556736017471,78.53176389582055,-3.190004653097686,-9022.645864657496,-3190.004624113885,96986.05896891945,96092.3978936966,305748.19415182306,188546.86121560275,4735.135325228759,183811.725890374,185196.496990001,3350.364225601757,94624.83736607348,84108.73073565852,9813.29311387076,4596.899263743251,5203.92221152495,-607.0229477816997,2161.680821986419,3247.866220952153,-812.6477791953209,34758.66639270366,26397.009129959333,406637.462225382,88690.43346497008,947.2157116800762,54850.79059248356,29861.399765641632,10364.350893469547,4221.806872494856,148093.5817547592,19.179074489649697,-7846.394577291329,98251.36139966275,5070.408447961206,7454.578228022816,101470.26931420926,-3200.749281055714,-3545.373041031351,-8619.059847845874,7518.78759264161,3.7555,0.3733,18.0797
2016-07-01,2.78,1206374.8025603816,64.71965107242188,72.33848202894885,-7.499264932776679,-9022.645864657496,-7499.26488600263,84593.32397089947,93351.88693782124,304874.4472834716,191142.67701219968,2593.259061998665,188549.41795020105,187581.26372596016,3561.413286239544,92221.25563961754,88198.15061164665,10723.270760935524,3116.0018138820933,2892.66991349668,223.3319003854136,-2207.1244678743515,4306.131249393895,1016.9950323625492,41697.52685177232,25136.63155258499,414194.78635792487,89363.85964309762,706.0001430408051,52072.44159238705,29717.64888871495,10855.91321205228,5268.963077877927,151371.43998160213,18.36748339618355,-5145.644779520968,99059.68469106096,4631.080896842311,7374.579009032172,104528.66861951632,-5461.095711108437,-2442.528378980588,-4684.101039005127,7442.0803495731825,4.2609,0.3967,18.7418
2016-10-01,3.24,1246279.4718660722,70.32757232581108,82.84635533423983,-13.211453862530536,-9022.645864657496,-13211.453883456425,83633.52079600055,102168.0858123062,299614.22116900515,187686.85513983955,3415.4390803877736,184271.4160594518,184479.13199927317,3207.7231405664065,91420.93912547288,85749.24657394509,10516.669440421583,594.8370598179526,928.7588402596904,-333.92178044173767,1438.9747283880597,-890.8037558989214,46.66608732881427,30721.21861030501,23870.429585602506,414576.33470837167,88604.07039188937,599.6073709671203,64532.76922594039,29660.550296529207,8358.62215750464,4723.022847341149,149523.12151750264,18.770137347811964,-2826.2102005764946,103844.12667513327,5286.788088308744,7379.887764334951,104706.81152085616,-848.8046122617931,-2698.295779685874,-6706.241767041591,7427.131958412763,5.087,0.45,19.8228
