periodo,CICLO,TRIMESTRE,ingresos_mmxn,gasto_mmxn,balance_mmxn
1990-01-01,1990,1,42560.899000000005,49099.137,-8170.8240000000005
1990-04-01,1990,2,42816.451,45663.782,-1763.9869999999996
1990-07-01,1990,3,45927.963,47555.025,-1595.7929999999997
1990-10-01,1990,4,56396.28,61897.380000000005,-7735.563
1991-01-01,1991,1,59919.261,51665.573,6205.216
1991-04-01,1991,2,62457.282,51692.657999999996,10637.279999999999
1991-07-01,1991,3,64334.59299999999,54889.609,9951.422
1991-10-01,1991,4,67671.895,69685.31,-1604.621
1992-01-01,1992,1,73490.572,55978.699,19671.631
1992-04-01,1992,2,75344.15400000001,54274.99,19998.422
1992-07-01,1992,3,75064.22200000001,62845.582,12838.128999999999
1992-10-01,1992,4,71579.234,76188.052,-6023.589
1993-01-01,1993,1,68134.104,62798.505999999994,6179.9169999999995
1993-04-01,1993,2,71863.965,65282.613,6759.138000000001
1993-07-01,1993,3,72984.598,71870.539,205.21500000000003
1993-10-01,1993,4,77629.795,82114.753,-4901.3859999999995
1994-01-01,1994,1,78957.324,76064.848,6921.055
1994-04-01,1994,2,78675.071,74614.582,-864.6999999999998
1994-07-01,1994,3,84278.868,82123.274,1193.9550000000004
1994-10-01,1994,4,84947.106,93447.976,-3903.8929999999996
1995-01-01,1995,1,88596.842,83845.26000000001,11038.0
1995-04-01,1995,2,101954.13699999999,96881.331,7599.3
1995-07-01,1995,3,101591.443,89547.93299999999,8043.5
1995-10-01,1995,4,126233.062,151275.36,-26881.5
1996-01-01,1996,1,122237.654,120166.606,3511.2
1996-04-01,1996,2,135488.432,113186.332,18321.5
1996-07-01,1996,3,141556.64,136753.363,10561.599999999999
1996-10-01,1996,4,179698.625,212135.307,-32111.399999999998
1997-01-01,1997,1,170475.691,152362.28399999999,18852.7
1997-04-01,1997,2,176253.253,164961.27899999998,11759.3
1997-07-01,1997,3,166495.885,165167.974,-1742.8999999999996
1997-10-01,1997,4,221439.848,271707.656,-51880.1
1998-01-01,1998,1,186861.411,184337.022,750.0
1998-04-01,1998,2,184123.635,178152.517,4041.2999999999993
1998-07-01,1998,3,195788.03600000002,200565.761,-3561.6000000000004
1998-10-01,1998,4,215174.53100000002,266455.964,-49148.299999999996
1999-01-01,1999,1,224234.10700000002,221874.349,6842.676
1999-04-01,1999,2,232024.027,220184.74800000002,7510.681999999999
1999-07-01,1999,3,233384.16999999998,250189.74599999998,-18262.240999999998
1999-10-01,1999,4,265174.206,315418.415,-48079.411
2000-01-01,2000,1,290276.955,276756.327,13227.029
2000-04-01,2000,2,278994.96499999997,267962.04099999997,8506.832
2000-07-01,2000,3,299603.345,310264.36,-3096.54
2000-10-01,2000,4,309937.876,384283.582,-79233.945
2001-01-01,2001,1,319542.045,305611.74,13322.287999999999
2001-04-01,2001,2,311755.68200000003,310794.401,-119.82200000000012
2001-07-01,2001,3,330476.814,340903.458,-7929.818000000001
2001-10-01,2001,4,309602.078,354360.186,-47468.08700000001
2002-01-01,2002,1,313979.096,319004.0505,-6394.669
2002-04-01,2002,2,356865.72,326431.3635,30339.664
2002-07-01,2002,3,346668.019,360812.627,-10644.255999999998
2002-10-01,2002,4,369722.652,453703.02019999997,-88907.30600000001
2003-01-01,2003,1,404343.679,372758.698,27247.203999999998
2003-04-01,2003,2,402389.988,371293.296,35653.023
2003-07-01,2003,3,387130.495,404468.877,-17572.731
2003-10-01,2003,4,406422.176,499722.207,-87792.85
2004-01-01,2004,1,443341.717,394333.261,47211.439
2004-04-01,2004,2,435547.145,423245.81299999997,9545.689999999999
2004-07-01,2004,3,429547.091,415449.46200000006,23174.895
2004-10-01,2004,4,462878.23,559268.2,-99140.438
2005-01-01,2005,1,464634.46900000004,432255.995,26403.541
2005-04-01,2005,2,480368.485,471796.221,14673.542000000001
2005-07-01,2005,3,474651.36699999997,419261.159,60527.164000000004
2005-10-01,2005,4,528161.888,634698.693,-111729.51000000001
2006-01-01,2006,1,564183.173,512735.5904,49908.182
2006-04-01,2006,2,556782.27,521208.34790000005,33156.734
2006-07-01,2006,3,548360.054,500786.5922,56102.974
2006-10-01,2006,4,594277.07,720490.7197,-129234.18800000001
2007-01-01,2007,1,611414.809,504526.05499999993,102436.349
2007-04-01,2007,2,582702.75,573169.508,8927.5049
2007-07-01,2007,3,580460.104,557904.621,26841.8061
2007-10-01,2007,4,711207.341,846903.331,-133395.723
2008-01-01,2008,1,676180.417,570678.8912,100814.92585
2008-04-01,2008,2,686675.4469999999,710187.057,-15442.725000000002
2008-07-01,2008,3,711096.061,657477.0398,54480.616151999995
2008-10-01,2008,4,786974.493,934265.44,-147798.375
2009-01-01,2009,1,649643.363,696898.1201,-38337.06571
2009-04-01,2009,2,689360.4110000001,746026.7403,-56282.732110000004
2009-07-01,2009,3,672359.823,700678.6046,-27469.912689999997
2009-10-01,2009,4,805821.932,945273.3507000001,-151396.27362
2010-01-01,2010,1,735850.9820000001,733301.406,11320.762011999997
2010-04-01,2010,2,673491.532,785956.0179000001,-113031.747857
2010-07-01,2010,3,688280.845,760548.3602,-75084.95671
2010-10-01,2010,4,862819.6740000001,1054142.5894,-193724.49176
2011-01-01,2011,1,773757.024,779693.0519000001,1262.1005805999994
2011-04-01,2011,2,749727.477,875421.2971999999,-126693.347843
2011-07-01,2011,3,783390.013,841232.2582,-53556.136933
2011-10-01,2011,4,964205.602,1134969.3283000002,-174470.694919
2012-01-01,2012,1,861705.762,920020.1244999999,-49547.60223800001
2012-04-01,2012,2,862937.149,949828.0282000001,-93073.54542099999
2012-07-01,2012,3,872171.187,902657.0126,-33292.69126299999
2012-10-01,2012,4,917715.433,1147799.7875,-227295.58796
2013-01-01,2013,1,890614.247,868248.1581,40172.3422
2013-04-01,2013,2,919636.348,1038191.2665,-115792.7517002
2013-07-01,2013,3,881906.2239999999,1001230.6937,-112803.99284699999
2013-10-01,2013,4,1108258.798,1270651.7924,-185806.82647000003
2014-01-01,2014,1,964020.824,1023228.9207,-49454.601977000006
2014-04-01,2014,2,947938.94,1144538.5001,-183690.55271000002
2014-07-01,2014,3,942586.131,1105275.7395,-172694.5292
2014-10-01,2014,4,1128510.212,1255002.0795,-137236.74491
2015-01-01,2015,1,1086682.6839,1182967.155,-96459.21762000001
2015-04-01,2015,2,959587.0173,1225194.4202,-254905.65341000003
2015-07-01,2015,3,987236.839,1095022.6116,-87491.12459
2015-10-01,2015,4,1233482.9914000002,1389691.7061,-198831.1093
2016-01-01,2016,1,1058812.5267,1110283.8153,-61562.695437
2016-04-01,2016,2,1280121.3877,1354752.6709,-55030.81950000001
2016-07-01,2016,3,1162279.233,1299103.3483,-134676.86784
2016-10-01,2016,4,1344317.1824,1583614.7231,-252537.99959999998
2017-01-01,2017,1,1477812.0166000002,1189844.2922,309068.755171
2017-04-01,2017,2,1177441.6897,1344712.7037,-167216.13812
2017-07-01,2017,3,1116187.7831000001,1195527.3103,-78637.24699
2017-10-01,2017,4,1176166.8513,1452554.094,-301687.73347
2018-01-01,2018,1,1259408.1251,1376777.8847,-91937.32892
2018-04-01,2018,2,1242581.0702,1412384.2409,-114794.01925
2018-07-01,2018,3,1289510.3345,1321464.1828,-104287.520074
2018-10-01,2018,4,1323611.5598,1478725.0121,-183963.01895
2019-01-01,2019,1,1295375.1488,1349091.0902,-24482.839893999997
2019-04-01,2019,2,1327123.8475000001,1426867.9507,-95438.697595
2019-07-01,2019,3,1353755.1487,1411655.4531,-40304.77714
2019-10-01,2019,4,1408730.1312,1605009.4519,-233382.01991
2020-01-01,2020,1,1462933.7645,1480947.8827,26933.215689999997
2020-04-01,2020,2,1140120.5509000001,1440785.0118,-320184.01852
2020-07-01,2020,3,1285884.4487,1311529.4229000001,-15199.241879999994
2020-10-01,2020,4,1451051.7008,1761763.4352,-367972.87220000004
2021-01-01,2021,1,1564333.7667,1663437.7032,-83036.87557999999
2021-04-01,2021,2,1366953.1858,1531221.745,-148160.132931
2021-07-01,2021,3,1391009.1277,1513379.67,-130816.38488000001
2021-10-01,2021,4,1638648.5404,2027780.5235000001,-390482.97702999995
2022-01-01,2022,1,1717150.7931,1804718.9286000002,-58489.38394999999
2022-04-01,2022,2,1588041.2937000003,1710784.8603,-117366.69973
2022-07-01,2022,3,1582326.3028,1747451.1184999999,-172503.96204
2022-10-01,2022,4,1715311.2618999998,2291178.3506,-602531.9471199999
2023-01-01,2023,1,1743374.0171,1867416.1438,-98632.05860599999
2023-04-01,2023,2,1721488.5577,2019757.2841,-296060.83759
2023-07-01,2023,3,1730760.8967000002,1975521.6532,-250251.48915
2023-10-01,2023,4,1843736.3235999998,2259253.1956,-408396.09261999995
2024-01-01,2024,1,1867356.4542,2325303.0089,-452969.18168000004
2024-04-01,2024,2,1951445.0783,2242196.4248,-244032.74189999996
2024-07-01,2024,3,1805715.0019,2140864.616,-293671.01922
2024-10-01,2024,4,1868412.3839999998,2455821.5236,-676773.05047
2025-01-01,2025,1,2149137.4447,2269852.6066,-118265.25910000001
2025-04-01,2025,2,1955642.4786999999,2300413.7288,-299876.115474
2025-07-01,2025,3,1275188.8686000002,1390841.0504,-129645.4402
